,companyName,country,prefix,streetAddress1,streetAddress2
154,zte corporation,CN,681AB2,"12/F.,zte R&D building,kejinan Road,",shenzhen  guangdong  518057
155,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,E005C5,"Building 7, Second Part, Honghualing Industrial Zone",Shenzhen  Guangdong  518000
156,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,A0F3C1,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan",shenzhen  guangdong Province  518057
157,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,8C210A,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan",shenzhen  guangdong Province  518057
158,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,EC172F,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan",shenzhen  guangdong Province  518057
159,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,EC888F,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park",Shenzhen  Guangdong  518057
160,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,14CF92,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)",shenzhen  guangdong Province  518057
161,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,645601,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)","Shennan Rd, Nanshan  Shenzhen,Guangdong Province  518057"
162,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,14CC20,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)","Shennan Rd, Nanshan  Shenzhen,Guangdong Province  518057"
163,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,BC4699,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)","Shennan Rd, Nanshan  Shenzhen,Guangdong Province  518057"
164,"HUAWEI TECHNOLOGIES CO.,LTD",CN,0C45BA,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
165,Cochlear Limited,AU,847778,1 University Avenue,Sydney  New South Wales  2109
166,Sysorex Global Holdings,US,0453D5,Suite 195 2479 E. Bayshore Road,Palo Alto  CA  94303
167,"Apple, Inc.",US,CC4463,1 Infinite Loop,Cupertino  CA  95014
168,"Apple, Inc.",US,6C72E7,1 Infinite Loop,Cupertino  CA  95014
169,"HUAWEI TECHNOLOGIES CO.,LTD",CN,CCA223,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
170,"HUAWEI TECHNOLOGIES CO.,LTD",CN,E8088B,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
171,"HUAWEI TECHNOLOGIES CO.,LTD",CN,60E701,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
172,Hewlett Packard,US,000883,MAIL STOP 42LE,CUPERTINO  CA  95014
173,Hewlett Packard,US,C4346B,11445 Compaq Center Drive,Houston    77070
174,Hewlett Packard,US,8CDCD4,11445 Compaq Center Drive,Houston    77070
175,Hewlett Packard,US,3464A9,11445 Compaq Center Drive,Houston    77070
176,Hewlett Packard,US,D4C9EF,11445 Compaq Center Drive,Houston    77070
177,Hewlett Packard,US,A45D36,11445 Compaq Center Drive,Houston    77070
178,Hewlett Packard,US,A0D3C1,11445 Compaq Center Drive,Houston    77070
179,Hewlett Packard,US,40A8F0,11445 Compaq Center Drive,Houston    77070
180,Hewlett Packard,US,6C3BE5,11445 Compaq Center Drive,Houston    77070
181,Hewlett Packard,US,082E5F,11445 Compaq Center Drive,Houston    77070
182,Hewlett Packard,US,28924A,11445 Compaq Center Drive,Houston    77070
183,Hewlett Packard,US,10604B,11445 Compaq Center Drive,Houston    77070
184,Hewlett Packard,US,308D99,11445 Compaq Center Drive,Houston    77070
185,Hewlett Packard,US,0030C1,11000 WOLFE ROAD,CUPERTINO  CA  95014
186,Hewlett Packard,US,FC3FDB,11445 Compaq Center Drive,Houston  TX  77070
187,Rain Bird Corporation,US,4CA161,970 West Sierra Madre Ave.,AZUSA  CA  91702
188,HTC Corporation,TW,7C6193,"No. 23, Xinghua Rd., ",Taoyuan County    330
189,"Cisco-Linksys, LLC",US,001217,121 Theory Dr.,Irvine  CA  92612
190,"Cisco-Linksys, LLC",US,000C41,121 Theory Dr.,Irvine  CA  92612
191,"Cisco-Linksys, LLC",US,000F66,121 Theory Dr.,Irvine  CA  92612
192,Cisco SPVTG,US,44E08E,5030 Sugarloaf Parkway,Lawrenceville  GA  30044
193,Cisco SPVTG,US,185933,5030 Sugarloaf Parkway,Lawrenceville  GA  30044
194,Cisco SPVTG,US,E448C7,5030 Sugarloaf Pkwy,Lawrenceville  GA  30044
195,Cisco SPVTG,US,24767D,5030 Sugarloaf Pkwy,Lawrenceville  GA  30044
196,Cisco SPVTG,US,2CABA4,5030 Sugarloaf Parkway,Lawrenceville  GA  30044
197,"ALPS ELECTRIC CO.,LTD.",JP,0002C7,"1-2-1, Okinouchi, Sama-City,",Sama    00000
198,"ALPS ELECTRIC CO.,LTD.",JP,04766E,"6-3-36 Furukawanakazato,",Osaki  Miyagi-pref  989-6181
199,"Shanghai Feixun Communication Co.,Ltd.",CN,006B8E,"Building 90,No,4855,Guangfulin Road",shanghai  Shanghai  201616
200,"HUAWEI TECHNOLOGIES CO.,LTD",CN,AC853D,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen",Shenzhen  Guangdong  518129
201,"HUAWEI TECHNOLOGIES CO.,LTD",CN,74882A,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
202,"HUAWEI TECHNOLOGIES CO.,LTD",CN,78D752,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
203,"HUAWEI TECHNOLOGIES CO.,LTD",CN,E0247F,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
204,"HUAWEI TECHNOLOGIES CO.,LTD",CN,00464B,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
205,"HUAWEI TECHNOLOGIES CO.,LTD",CN,707BE8,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
206,"HUAWEI TECHNOLOGIES CO.,LTD",CN,548998,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
207,"HUAWEI TECHNOLOGIES CO.,LTD",CN,0819A6,"D1-4,Huawei Industrial Base,Bantian,Longgang",ShenZhen  GuangDong  518129
208,"HUAWEI TECHNOLOGIES CO.,LTD",CN,3CF808,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen",ShenZhen  GuangDong  518129
209,"HUAWEI TECHNOLOGIES CO.,LTD",CN,B41513,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen",ShenZhen  GuangDong  518129
210,"HUAWEI TECHNOLOGIES CO.,LTD",CN,283152,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen",ShenZhen  GuangDong  518129
211,"HUAWEI TECHNOLOGIES CO.,LTD",CN,DCD2FC,"D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen",ShenZhen  GuangDong  518129
212,Comark Interactive Solutions,US,0003DD,93 West St.,Medfield  MA  02052
213,"Cisco Systems, Inc",US,00107B,170 W.TASMAN DR.-SJA-2,SAN JOSE  CA  95134-1706
214,"Cisco Systems, Inc",US,00906D,80 West Tasman Drive,San Jose  CA  94568
215,"Cisco Systems, Inc",US,0090BF,80 West Tasman Drive,San Jose  CA  94568
216,"Cisco Systems, Inc",US,005080,170 W. TASMAN DR.,SAN JOSE  CA  95134-1706
217,ASUSTek COMPUTER INC.,TW,00E018,150 LI-TE RD.,"PEITOU, TAIPEI    77777"
218,ASUSTek COMPUTER INC.,TW,000C6E,"150, Li-Te Rd., PeiTou",Taipei    112
219,ASUSTek COMPUTER INC.,TW,001BFC,"15,Li-Te Rd.,Peitou",Taipei    112
220,ASUSTek COMPUTER INC.,TW,001E8C,"15,Li-Te Rd.,Peitou",Taipei    112
221,ASUSTek COMPUTER INC.,TW,0015F2,"No.5 Shing Yeh Street,Kwei Shan Hsiang,Taoyuan",Taipei    333
222,ASUSTek COMPUTER INC.,TW,002354,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan",Taipei  Taiwan  112
223,ASUSTek COMPUTER INC.,TW,001FC6,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan",Taipei  Taiwan  112
224,ShenZhen Protruly Electronic Ltd co.,CN,60182E,ShenNan Road 1004,Shen Zhen  GuangDong  518000
225,"Cisco Systems, Inc",US,F4CFE2,170 West Tasman Drive,San Jose  CA  95134
226,"Cisco Systems, Inc",US,501CBF,170 West Tasman Drive,San Jose  CA  95134
227,"HUAWEI TECHNOLOGIES CO.,LTD",CN,285FDB,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District,",Shenzhen  Guangdong  518108
228,"HUAWEI TECHNOLOGIES CO.,LTD",CN,404D8E,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District,",Shenzhen  Guangdong  518108
229,"HUAWEI TECHNOLOGIES CO.,LTD",CN,781DBA,"HUAWEI Industrial Base Bantian,Longgang",Shenzhen  guangdong  518129
230,"HUAWEI TECHNOLOGIES CO.,LTD",CN,001E10,"HUAWEI INDUSTRIAL PK BANTIAN, LONGGANG DIST SHENZHEN",SHENZHEN  GUANGDONG  518077
231,"Cisco Systems, Inc",US,88F031,170 West Tasman Drive,San Jose  CA  95134
232,"Cisco Systems, Inc",US,508789,170 West Tasman Drive,San Jose  CA  95134
233,"Cisco Systems, Inc",US,381C1A,170 West Tasman Drive,San Jose  CA  95134
234,"Cisco Systems, Inc",US,F40F1B,170 West Tasman Drive,San Jose  CA  95134
235,"Cisco Systems, Inc",US,BC671C,170 West Tasman Drive,San Jose  CA  95134
236,"Cisco Systems, Inc",US,A0ECF9,170 West Tasman Drive,San Jose  CA  95134
237,"Cisco Systems, Inc",US,D46D50,170 West Tasman Drive,San Jose  CA  95134
238,"Cisco Systems, Inc",US,1CE85D,170 West Tasman Drive,San Jose  CA  95134
239,"Cisco Systems, Inc",US,C47295,170 West Tasman Drive,San Jose  CA  95134
240,"Cisco Systems, Inc",US,A0554F,170 West Tasman Drive,San Jose  CA  95134
241,"Cisco Systems, Inc",US,84B802,170 West Tasman Drive,San Jose  CA  95134
